City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,castro,-24.7911,-50.0119,21.52,85,60,4.12,BR,1675539441
1,kolpashevo,58.3131,82.9089,-19.35,100,100,0.9,RU,1675539442
2,umea,63.8284,20.2597,-11.16,77,0,2.57,SE,1675539442
3,rikitea,-23.1203,-134.9692,25.85,76,3,7.04,PF,1675539303
4,hasaki,35.7333,140.8333,2.9,56,2,7.69,JP,1675539442
5,thompson,55.7435,-97.8558,-20.91,77,40,1.54,CA,1675539053
6,samarai,-10.6167,150.6667,27.29,78,97,2.56,PG,1675539443
7,punta arenas,-53.15,-70.9167,10.06,93,100,5.66,CL,1675539307
8,road town,18.4167,-64.6167,28.02,74,40,5.14,VG,1675539443
9,bredasdorp,-34.5322,20.0403,22.04,81,0,1.78,ZA,1675539301
10,krasnoselkup,65.7,82.4667,-13.98,97,100,3.63,RU,1675539444
11,gat,31.61,34.7642,12.44,100,58,3.18,IL,1675539444
12,ugoofaaru,5.6667,73.0,27.07,75,100,2.66,MV,1675539445
13,ushuaia,-54.8,-68.3,12.81,50,0,1.03,AR,1675539304
14,bethel,41.3712,-73.414,-7.36,37,40,7.2,US,1675539445
15,sabang,5.8933,95.3214,26.48,77,93,2.95,ID,1675539445
16,east london,-33.0153,27.9116,24.45,82,100,7.59,ZA,1675539331
17,vila,42.0304,-8.1588,7.49,64,0,2.05,PT,1675539446
18,cayenne,4.9333,-52.3333,24.02,94,75,1.03,GF,1675539108
19,hilo,19.7297,-155.09,22.36,92,100,2.57,US,1675539318
20,qaanaaq,77.484,-69.3632,-18.87,66,100,2.48,GL,1675539324
21,yellowknife,62.456,-114.3525,-27.71,63,75,1.03,CA,1675539341
22,busselton,-33.65,115.3333,23.51,45,93,3.33,AU,1675539335
23,marsabit,2.3284,37.9899,21.71,35,77,3.47,KE,1675539447
24,severnyy,50.677,36.5532,-3.98,92,100,2.0,RU,1675539447
25,cape town,-33.9258,18.4232,22.29,83,20,5.66,ZA,1675539171
26,fort nelson,58.8053,-122.7002,-14.47,68,75,1.34,CA,1675539448
27,butaritari,3.0707,172.7902,27.35,80,73,8.82,KI,1675539324
28,cape coast,5.1053,-1.2466,26.68,80,61,5.36,GH,1675539448
29,broome,42.2506,-75.833,-8.28,60,98,3.13,US,1675539449
30,lagoa,39.05,-27.9833,15.08,87,5,7.67,PT,1675539151
31,jadu,31.953,12.0261,8.02,70,96,3.31,LY,1675539449
32,mount isa,-20.7333,139.5,21.87,40,100,4.12,AU,1675539450
33,hermanus,-34.4187,19.2345,19.89,94,19,3.33,ZA,1675539318
34,pisco,-13.7,-76.2167,24.03,83,0,4.63,PE,1675539176
35,boyolangu,-8.1181,111.8935,24.24,82,100,1.0,ID,1675539450
36,ponta delgada,37.7333,-25.6667,15.4,82,20,4.63,PT,1675539345
37,bilibino,68.0546,166.4372,-36.87,98,18,2.19,RU,1675539451
38,lebu,-37.6167,-73.65,18.98,79,51,4.85,CL,1675539359
39,diffa,13.3154,12.6113,24.83,14,88,3.09,NE,1675539451
40,port alfred,-33.5906,26.891,24.54,86,100,0.89,ZA,1675539302
41,shimoda,34.6667,138.95,7.53,68,25,4.12,JP,1675539452
42,tecpan,14.7623,-90.9947,17.56,46,10,4.91,GT,1675539452
43,wattegama,6.7989,81.4808,22.31,92,49,1.98,LK,1675539453
44,tynda,55.1667,124.7167,-31.66,100,94,1.1,RU,1675539350
45,puerto ayora,-0.7393,-90.3518,29.98,87,34,3.58,EC,1675539333
46,miraflores,19.2167,-98.8083,22.21,28,0,1.57,MX,1675539453
47,port elizabeth,-33.918,25.5701,24.06,88,0,2.06,ZA,1675539453
48,eydhafushi,5.1033,73.0708,27.02,77,80,2.42,MV,1675539454
49,saskylakh,71.9167,114.0833,-42.58,100,77,1.17,RU,1675539454
50,ancud,-41.8697,-73.8203,21.01,65,43,2.21,CL,1675539454
51,kodiak,57.79,-152.4072,-6.27,93,0,2.57,US,1675539044
52,caravelas,-17.7125,-39.2481,28.26,71,7,4.98,BR,1675539455
53,dhadar,28.3305,75.0632,18.88,27,0,2.6,IN,1675539455
54,albany,42.6001,-73.9662,-11.77,42,54,0.45,US,1675539222
55,glens falls,43.3095,-73.644,-14.34,47,54,2.54,US,1675539407
56,tuktoyaktuk,69.4541,-133.0374,-42.0,66,0,1.54,CA,1675539323
